playerId,playerName,position,team,gp,points_ratio,plusMinus_ratio,shg_ratio,faceoffPctg_ratio,blocks_ratio,hits_ratio,pim_ratio
8481477,Nico Sturm,F,SJS,74,0.2258239646769126,-0.08289169406043219,0.012114750371031364,0.004803480320897766,0.3406201807345523,0.6302625268361051,0.15764680437224918
8481481,Blake Lizotte,F,LAK,81,0.2613949424732963,0.0651062730221489,0.0,0.0041471820210982075,0.29180742500666224,0.5702022338479524,0.2876206747371598
8475343,Nic Dowd,F,WSH,65,0.24041425712351341,0.047578845582785044,0.0,0.005144162452124837,0.44525547445255476,0.6997325888254128,0.2060413965884639
8477392,Hudson Fasching,F,NYI,49,0.25385561259886713,0.0995819147625417,0.0,0.003521723303201292,0.2791901951532988,0.4365794459411843,0.1271216702933422
8479439,Jacob MacDonald,D,"COL,SJS",58,0.10256410256410257,-0.12600843630202538,0.0,0.0,0.365833211137689,0.5018928009765522,0.20380250711259748
8479442,Troy Stecher,D,"ARI,CGY",81,0.12262818702623036,-0.03610750995212415,0.0,0.0,0.5537267464820675,0.42880716545115705,0.2395799581183583
8477402,Pavel Buchnevich,F,STL,63,0.5301810799638796,0.09702708610931725,0.0,0.003626838256058148,0.2283197390376395,0.42084057658758606,0.22588338697295474
8477404,Jake Guentzel,F,PIT,78,0.5093960279061776,0.01021380497695873,0.0,0.005003131411496113,0.32073247726247944,0.49048716264440045,0.29220649958178435
8477406,Mattias Janmark,F,EDM,66,0.22397825371617386,0.06495366073947471,0.03761862700873469,0.0045773680871906705,0.25025364495965285,0.19918473475302326,0.23049253382727994
8477407,Anthony Duclair,F,FLA,20,0.2586307332456427,0.08892842845702845,0.0,0.0,0.26962989392607756,0.45803989154980795,0.06964322291925096
8477409,Carter Verhaeghe,F,FLA,81,0.4620063296543436,0.04917977867375862,0.0,0.004279087094316142,0.23342084162326832,0.20960038937169104,0.29048414649961213
8479458,Nikita Zaitsev,D,"OTT,CHI",46,0.12611215993747155,-0.0924852959072146,0.0,0.0,0.6866575840014114,0.7444268895580788,0.22593615253645472
8477416,Oliver Bjorkstrand,F,SEA,81,0.3297193019803516,-0.00609868127172186,0.0,0.0029189733990820903,0.24641399409332618,0.4180111025283889,0.12371243968992833
8471274,Alex Goligoski,D,MIN,46,0.09010191389370921,-0.08856982212224764,0.0,0.0,0.5968844681539398,0.3875352508922385,0.19784548358532636
8481517,Brett Leason,F,ANA,54,0.11403971925978734,-0.19738187494679665,0.0,0.005181295293487378,0.220871215252208,0.3477109057911385,0.15507874992370152
8483565,Nick Blankenburg,D,CBJ,36,0.23772713991804573,-0.20997512422417808,0.0,0.0,0.7338255294095886,0.7408691098960694,0.24266963623233873
8477425,Miles Wood,F,NJD,76,0.2136270465760997,0.0063951742918773495,0.0,0.001967644582759418,0.16488748658356026,0.5798538666184795,0.26345786586005654
8481522,Peyton Krebs,F,BUF,74,0.22582396467691265,-0.053848336117047084,0.012114750371031364,0.004102492314175544,0.16666666666666669,0.6009587854150622,0.3027985501972443
8477426,Nick Paul,F,TBL,80,0.24327867600939743,0.06644471944223045,0.011250087894745202,0.004314801378057156,0.3189607373143993,0.603529055932463,0.2150910073309786
8481524,Bowen Byram,D,COL,42,0.3521468075279101,0.07339370696987144,0.02065982342574994,0.0,0.5950791553955084,0.8146921729986748,0.34024262978913994
8481523,Kirby Dach,F,MTL,58,0.37321566841017667,-0.015454244568466015,0.0,0.004804692871917425,0.3481548107128981,0.47255111652247583,0.3126022036256978
8477429,Andrew Copp,F,DET,82,0.30395513450907863,0.011302460526835737,0.01098901098901099,0.004027022307390691,0.30256005648325973,0.2327921184609808,0.16601036950755246
