assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg
13,16,27,0.37931,2,82,21,Parise,1,24,8470610,7,34,0.41463,L,3,4,20222023,2,3,0.11538,L,182,Zach Parise,NYI,968.7682,89,83,0.6237420415875325,1.0264931956838514,0.1542574468374818,0.2946814289424633,1.0299645084937117,1.1065351273693569,0.7068964266433876,F,0.4146341463414634,0.08536585365853659,0.024390243902439025,1.0121951219512195,1.0853658536585367,0.2926829268292683,0.004625731707317073
43,14,38,1.0,2,82,18,Burns,1,44,8470613,19,61,0.7439,D,4,23,20222023,0,0,0.07058,R,255,Brent Burns,CAR,1392.9146,40,86,0.7620731609740484,1.327925031749331,0.0,0.10975609756097558,0.9865243129832532,0.7198221738231078,1.0382339831118417,D,0.7439024390243902,0.23170731707317074,0.0,1.048780487804878,0.4878048780487805,0.5365853658536586,0.012195121951219513
12,7,19,0.33333,1,81,7,Martin,0,63,8474709,4,19,0.23456,L,0,0,20222023,0,0,0.08536,L,82,Matt Martin,NYI,668.9135,295,43,0.4237284518945804,0.8447548342990621,0.0,0.2708869547393624,0.7384738977154659,2.2072195904300025,2.1140330656044957,F,0.2345679012345679,0.04938271604938271,0.0,0.5308641975308642,3.6419753086419755,0.7777777777777778,0.004115185185185185
14,12,26,0.44047,2,82,12,McBain,0,64,8480855,-8,26,0.31707,C,0,0,20222023,0,0,0.14117,L,85,Jack McBain,ARI,838.8658,304,51,0.5382457680661933,1.0194421728783594,0.0,0.4522092929784678,0.7908045286279746,1.7702680304023466,1.4230197215429101,F,0.3170731707317073,-0.0975609756097561,0.0,0.6219512195121951,3.707317073170732,0.7804878048780488,0.005371585365853658
23,10,29,0,3,79,11,Spurgeon,0,14,8474716,32,34,0.43037,D,1,4,20222023,0,1,0.07382,R,149,Jared Spurgeon,MIN,1308.7215,66,179,0.6498986153414399,1.2067215481329605,0.0,0.0,1.6589523975094569,0.9336247551689002,0.5683530207757886,D,0.43037974683544306,0.4050632911392405,0.0,2.2658227848101267,0.8354430379746836,0.17721518987341772,0.0
13,6,13,0,3,81,12,Perry,0,95,8470621,-28,25,0.30864,R,6,12,20222023,0,0,0.10344,R,116,Corey Perry,TBL,693.7407,48,25,0.5803782357305262,1.0081212672885733,0.0,0.0,0.5361494012495914,0.828173324999922,2.6095272901323403,F,0.30864197530864196,-0.345679012345679,0.0,0.30864197530864196,0.5925925925925926,1.1728395061728396,0.0
6,2,8,0,0,42,2,Bahl,0,35,8480860,4,8,0.19047,D,0,0,20222023,0,0,0.07407,L,27,Kevin Bahl,NJD,841.2142,64,38,0.44923719676460006,0.9464098530643709,0.0,0.0,0.9209085526577961,1.1799534946060826,2.544056253745626,D,0.19047619047619047,0.09523809523809523,0.0,0.9047619047619048,1.5238095238095237,0.8333333333333334,0.0
36,8,30,0,2,78,13,Dobson,1,20,8480865,4,49,0.6282,D,5,19,20222023,0,0,0.0631,R,206,Noah Dobson,NYI,1222.9358,60,104,0.7180631776892538,1.4926953413156805,0.0,0.0,1.287679951742535,0.8308641921035717,0.741376015117997,D,0.6282051282051282,0.05128205128205128,0.0,1.3333333333333333,0.7692307692307693,0.2564102564102564,0.0
0,0,0,0.45,0,2,0,Groulx,0,0,8480870,0,0,0.0,C,0,0,20222023,0,0,0.0,L,2,Bo Groulx,ANA,980.5,0,0,0.0,1.0,0.0,0.31412386523312746,0.0,0.0,0.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.225
19,5,15,0,1,46,5,Boqvist,0,8,8480871,-12,24,0.52173,D,0,9,20222023,0,0,0.07352,R,68,Adam Boqvist,CBJ,1118.0,23,47,0.6507230237867725,1.4360995273838033,0.0,0.0,0.9888317752647096,0.7445453821540743,0.5635426694267707,D,0.5217391304347826,-0.2608695652173913,0.0,1.0217391304347827,0.5,0.17391304347826086,0.0
28,7,24,0,0,71,7,Sandin,0,39,8480873,3,35,0.49295,D,0,11,20222023,0,0,0.08641,L,81,Rasmus Sandin,"TOR,WSH",1159.6056,136,87,0.7667976106375326,1.4480352859126624,0.0,0.0,1.1530386443885055,1.5267241823013238,1.451456115829662,D,0.49295774647887325,0.04225352112676056,0.0,1.2253521126760563,1.9154929577464788,0.5492957746478874,0.0
10,5,13,0,2,60,6,Lundkvist,1,26,8480878,-5,16,0.26666,D,1,3,20222023,0,0,0.06382,R,94,Nils Lundkvist,DAL,978.5333,49,67,0.4784233364802443,0.8620067027323834,0.0,0.0,1.1268195162590244,0.9397103572673636,0.9012337223063848,D,0.26666666666666666,-0.08333333333333333,0.0,1.1166666666666667,0.8166666666666667,0.43333333333333335,0.0
3,4,7,0.53231,0,54,6,Stenlund,0,20,8478831,3,9,0.16666,C,0,0,20222023,2,2,0.09523,R,63,Kevin Stenlund,WPG,698.7037,31,28,0.41943524640393054,0.8480187512485413,0.18885257457751045,0.5349264657369456,0.7635380788180852,0.7097691813606222,0.9486109981382002,F,0.16666666666666666,0.05555555555555555,0.037037037037037035,0.5185185185185185,0.5740740740740741,0.37037037037037035,0.009857592592592591
3,4,7,0,1,23,4,Lauko,0,11,8480880,2,7,0.30434,C,0,0,20222023,0,0,0.23529,L,17,Jakub Lauko,BOS,531.8695,44,6,0.5465132647815886,0.7170618479335059,0.0,0.0,0.43910891036356864,1.5297923552834072,1.1747179205309826,F,0.30434782608695654,0.08695652173913043,0.0,0.2608695652173913,1.9130434782608696,0.4782608695652174,0.0
1,0,1,0,0,19,0,Bernard-Docker,0,11,8480879,-2,1,0.05263,D,0,0,20222023,0,0,0.0,R,22,Jacob Bernard-Docker,OTT,961.0,23,27,0.22329687826943606,0.911605688194146,0.0,0.0,1.3500795093032272,1.4355980733669325,1.6324276230811392,D,0.05263157894736842,-0.10526315789473684,0.0,1.4210526315789473,1.2105263157894737,0.5789473684210527,0.0
26,3,11,0,1,62,3,Addison,0,22,8480884,-17,29,0.46774,D,0,18,20222023,0,0,0.03896,R,77,Calen Addison,MIN,967.1935,19,38,0.7560026867908364,0.9532517326314324,0.0,0.0,0.6563545144959936,0.5844409978062398,0.8442743437614452,D,0.46774193548387094,-0.27419354838709675,0.0,0.6129032258064516,0.3064516129032258,0.3548387096774194,0.0
13,4,16,0,0,65,4,Harris,0,26,8480887,-3,17,0.26153,D,0,1,20222023,0,0,0.05714,L,70,Jordan Harris,MTL,1119.1384,53,98,0.5342693955133953,1.2821948637547465,0.0,0.0,1.3936457658637862,0.9906067712003229,0.8735427425586698,D,0.26153846153846155,-0.046153846153846156,0.0,1.5076923076923077,0.8153846153846154,0.4,0.0
17,3,20,0,1,82,3,Borgen,0,47,8478840,11,20,0.2439,D,0,0,20222023,0,0,0.03947,R,76,Will Borgen,SEA,981.5853,203,89,0.42943455760143917,1.1662133336400269,0.0,0.0,1.2016372927070254,1.698102310659106,1.1690155103905204,D,0.24390243902439024,0.13414634146341464,0.0,1.0853658536585367,2.475609756097561,0.573170731707317,0.0
